Name (Components/Hardware),Quantity,Price,Note:,Link:,,,,,,,
ESP32 C3 Super Mini,1,PKR953,,https://www.aliexpress.com/item/1005008234672660.html,,,,,,,
"1.3"" I2C OLED Display Module (SH1106)",1,PKR971,VDD GND SCK SDA - Edit PCB if differing. SH1306 is usable - requires firmware editing.,https://www.aliexpress.com/item/1005002460442865.html,,,,,,,
2.54mm Pitch Female Header Strip (1x4),1 Pack,PKR544 (55 PKR for 1),,https://www.aliexpress.com/item/1005010226937381.html,,,,,,,
S8050 TO-92 NPN Transistor,1,PKR596 (12 PKR for 1),S8050 / SS8050 or other high A one,https://www.aliexpress.com/item/1005010029062416.html,,,,,,,
1k ohm 1/4W Axial Resistor,1,PKR175/lot (1.8PKR for 1),1kOhms,https://www.aliexpress.com/item/1005002489867848.html,,,,,,,
2.54mm Breakaway Male Headers (1x2),1 Pack,PKR579/lot (58 PKR for 1),,https://www.aliexpress.com/item/1005005917096107.html,,,,,,,
6x6x5mm Through-Hole Tactile Push Button,1,PKR558/100pcs (56 PKR for 1),,https://www.aliexpress.com/item/1005003777384661.html,,,,,,,
8 Ohm 0.5W Mini Magnetic Speaker with wires,1,PKR491,,https://www.aliexpress.com/item/1005006344913948.html,,,,,,,
M2 x 5mm Pan Head ISO 7045 Screws,1 Pack,PKR294/50pcs (12PKR for 2),might need to cut to size :),https://www.aliexpress.com/item/32976116532.html,,,,,,,
,,,,,,,,,,,
Name (Consumables/Equipment),,,,,,,,,,,
Double-Sided Tape,Quantity,,Note:,,,,,,,,
PLA 3D Printer Filament,n/a,,Already Have,,,,,,,,
Soldering Iron,n/a,,Local Store or Hack Club Grant :),,,,,,,,
0.8 Solder + Flux,1,,Local Store,,,,,,,,
Wire Stripper,n/a,,Local Store,,,,,,,,
USB A to USB C Cable,1,,Already Have,,,,,,,,
,1,,Already Have,,,,,,,,
,,,,,,,,,,,
,,Total Price To Make Commit Gochi,Effective Total Price Due to having to buy bulk,,,,,,,,
,,PKR2610/9.37,PKR5161/18.53USD,,,,,,,,
